participant_id,stepOne_Param,stepOneTwo_Param,stepTwoTwo_Param,rewards_Param,stepOneChoice,stepTwoChoice,reward,rewardProbabilities,isHighProbOne,isHighProbTwo,trial_type,trial_index,time_elapsed,internal_node_id
1,"[1,0]","[1,0]","[3,2]","[false,true,false,true]",0,0,False,"[0.4187808168349532,0.5575471624363733,0.45543796154002236,0.6434481935205034]",True,True,dawsTwoStep,26,142653,0.0-26.0
1,"[1,0]","[1,0]","[0,1]","[false,true,false,true]",0,1,True,"[0.4010532868257959,0.5250914314741801,0.48747729935650214,0.6616740709060845]",True,False,dawsTwoStep,27,145716,0.0-27.0
1,"[0,1]","[2,3]","[2,3]","[false,true,false,true]",0,2,False,"[0.37535083982992656,0.5393110600221984,0.4752344416755422,0.6457031444104393]",False,True,dawsTwoStep,28,152158,0.0-28.0
1,"[0,1]","[1,0]","[3,2]","[false,true,true,true]",0,1,True,"[0.3916255710457963,0.5404538743386161,0.4482725918196348,0.604638758676178]",True,True,dawsTwoStep,29,155419,0.0-29.0
1,"[1,0]","[1,0]","[2,3]","[false,true,true,true]",0,1,True,"[0.3899586343326102,0.5405116274091777,0.4263799998991161,0.6528874363270535]",True,True,dawsTwoStep,30,158806,0.0-30.0
1,"[0,1]","[2,3]","[0,1]","[true,false,true,true]",0,3,True,"[0.44788494510209376,0.5017226186270419,0.4576217638312113,0.6564350314250118]",False,False,dawsTwoStep,31,163548,0.0-31.0
1,"[0,1]","[0,1]","[0,1]","[false,true,false,true]",1,1,True,"[0.46999905721125085,0.5209220342409393,0.4564357948849841,0.6350623144928478]",True,False,dawsTwoStep,32,168015,0.0-32.0
1,"[1,0]","[1,0]","[0,1]","[false,false,false,true]",0,1,False,"[0.43177500368385985,0.5064654299269469,0.4952135534082014,0.6120952241046426]",True,False,dawsTwoStep,33,172349,0.0-33.0
1,"[0,1]","[2,3]","[2,3]","[true,false,false,false]",1,3,False,"[0.40130289501613825,0.5412203004967856,0.484752926080832,0.6097434475950291]",False,True,dawsTwoStep,34,175560,0.0-34.0
1,"[0,1]","[2,3]","[2,3]","[false,false,true,false]",1,3,False,"[0.39600201349545316,0.5173627857806438,0.5021337050318799,0.6264780507348782]",False,True,dawsTwoStep,35,178644,0.0-35.0
1,"[0,1]","[0,1]","[0,1]","[true,false,false,true]",1,0,True,"[0.43888706908553554,0.5532341824368874,0.5094913698437008,0.6414386423595734]",True,False,dawsTwoStep,36,185143,0.0-36.0
